Metric,Test_Type,P_Value,Reject_H0
energy_consumption,Kruskal-Wallis,3.924483286808939e-6,Yes
execution_time,Kruskal-Wallis,3.924483286808939e-6,Yes
cpu_usage,Kruskal-Wallis,0.19589204332075577,No
