execution_method,SIZE_CATEGORY,min_energy,q1_energy,median_energy,mean_energy,q3_energy,max_energy,sd_energy,min_execution_time,q1_execution_time,median_execution_time,mean_execution_time,q3_execution_time,max_execution_time,sd_execution_time,min_cpu_usage,q1_cpu_usage,median_cpu_usage,mean_cpu_usage,q3_cpu_usage,max_cpu_usage,sd_cpu_usage,min_mem_usage,q1_mem_usage,median_mem_usage,mean_mem_usage,q3_mem_usage,max_mem_usage,sd_mem_usage,min_compile_time,q1_compile_time,median_compile_time,mean_compile_time,q3_compile_time,max_compile_time,sd_compile_time
codon,large,440.76724,456.53368875,460.2642575,468.8757215,485.4913125,508.064145,22.86794170448301,25.645464,26.535281775,26.641136600000003,27.14998827,28.283074624999998,29.0042668,1.2811779569636794,105.382,106.39200000000001,107.879,108.2717,110.26150000000001,111.488,2.201750417281666,0,0,0,0,0,0,0,2.4586811,2.471848625,2.4765154,2.47902179,2.4883474,2.4995319,0.013217292766712824
cpp,large,71.03488,75.26711375000001,85.3706025,84.08710625,94.1339925,94.77705,11.036680685490074,8.0243192,8.134799175000001,8.246023600000001,8.4268362125,8.871328425,8.8808853,0.3830654401180985,81.7127,86.6188,89.70675,89.1753875,92.383825,96.0018,5.245129094540274,0,0,0,0,0,0,0,0.3999474,0.400932975,0.40332985,0.4045119,0.40890237500000004,0.4099693,0.004269066997432983
python,large,2581.389175,2637.344045,2640.91889,2640.1890328571426,2657.9879025,2668.35127,28.764274523478658,125.1625209,126.9608439,127.0820405,126.89492022857144,127.23259709999999,127.6329982,0.8004310222745064,97.8021,98.0749,99.239,99.24984285714285,100.381,100.796,1.2795375972815917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codon,medium,251.66245,297.88343999999995,300.591605,299.3621664285714,311.129545,325.25514,23.792944875261988,16.8030894,19.04296805,19.062778,19.000890685714285,19.56189985,19.9306316,1.048173777236444,97.7635,99.55425,104.503,104.63757142857143,109.1965,112.695,5.859482461991071,0,0,0,0,0,0,0,2.4787049,2.4907054000000004,2.4935186,2.4933642,2.4982536,2.5034079,0.007944259870497707
cpp,medium,37.387285000000006,42.95936875,55.8758425,51.235236,57.273991249999995,59.519625,9.05828022515796,5.7673254,5.943976675,6.4206818000000005,6.26940143,6.428589725,6.6311495,0.34974593101111767,79.1641,85.9565,90.44104999999999,89.64054999999999,92.9658,100.195,6.513098044240458,0,0,0,0,0,0,0,0.4055901,0.411858175,0.41638875,0.42087302,0.430033725,0.4410922,0.012696117430213764
python,medium,1553.758035,1627.19837875,1865.1585675000001,1794.390398,1921.9285725,1945.53925,168.25411133326548,76.0256072,79.89181199999999,91.16815840000001,87.55011981999999,93.675853375,93.9338191,7.859840075124613,97.5821,98.640125,99.2652,99.23501,100.19090000000001,100.657,1.0973298597049126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codon,small,116.24261,118.529265,154.25204,140.51563388888889,156.362765,167.640545,21.621385559328722,10.1197538,10.124784,11.3793635,10.887348966666666,11.5287168,11.5384138,0.7262673267687924,96.3849,98.5041,103.074,104.26323333333333,112.027,112.64,6.539449070258137,0,0,0,0,0,0,0,2.4666255,2.4704446,2.4932345,2.4894835,2.4988484,2.5163441,0.01841322729099919
cpp,small,16.93115,17.61475,17.82788,18.377732777777776,19.952635,20.343015,1.3721098517431816,4.1663253,4.1746642,4.4795754,4.5504145,5.0220726,5.1369503,0.43092173683857904,70.5923,78.5407,78.9167,79.89011111111111,83.4762,88.6667,5.266111798434508,0,0,0,0,0,0,0,0.4001767,0.4081972,0.411205,0.4117255444444444,0.4161179,0.4196742,0.0062054707063830174
python,small,835.958105,843.66173625,930.2969075,922.9351125000001,997.53159125,1004.70137,81.86882364191865,42.9514233,43.04618285,46.73380275,46.6619846375,50.131919350000004,50.4600473,3.785397430769652,95.4459,98.32402499999999,99.95625000000001,99.5771625,101.63475,102.332,2.6051989531580344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
