execution_method,SIZE_CATEGORY,mean_energy,median_energy,sd_energy,mean_execution_time,median_execution_time,sd_execution_time,mean_cpu_usage,median_cpu_usage,sd_cpu_usage,mean_memory_usage,median_memory_usage,sd_memory_usage
codon,large,780.7901985000001,778.7569150000004,12.681069030454335,46.83283708,46.8066711,0.4140215568643764,98.43406,98.36635,1.9563852212122672,4.019,3.86667,0.3228983399014483
cpp,large,870.9961779999998,871.7687800000003,13.72954397861142,53.186274069999996,53.1013346,0.2437889130306938,100.09845,100.45750000000001,1.937683576536114,0.3991426,0.39914099999999997,4.477102237431096e-6
python,large,13735.087061250117,13764.667889999924,72.73127909617341,763.02048324,762.4034347500001,2.1504092353232713,99.54589,99.63415,0.5549862009295572,23.63286,23.637349999999998,0.02008510780542459
codon,medium,356.23969550000004,354.096135,11.785978882185354,23.2578372,23.24666245,0.1723832434172249,97.2945,98.08224999999999,3.896494012143053,1.964799,1.88842,0.16873167491941488
cpp,medium,397.9456875,395.3436100000001,10.152096319851722,26.24876523,26.2514428,0.0660714208796487,97.95572,97.3018,4.246422529036779,0.1990902,0.199091,2.5298221281372334e-6
python,medium,6568.326403125,6558.7161649999325,74.36159287337817,363.54898002,363.74459225,1.5073465308669847,99.68247,99.7346,0.329467469478315,11.83405,11.83485,0.013859232782998578
codon,small,153.31188600000002,149.88699,8.246970565416325,12.168676529999999,12.142041800000001,0.0751968756011999,98.28964,99.5228,4.714633738148584,0.8879876,0.89,0.0042709036306409695
cpp,small,162.336555,158.404355,10.341262031761422,13.195590020000001,13.1689183,0.05629004272061341,95.25043,96.14665,5.331890062434604,0.09900297,0.099,4.782154326239253e-6
python,small,3140.7464284999937,3136.411779999995,30.40364815054052,173.85527781,173.4958538,1.4799394930779748,99.2063,99.2541,0.7469545739571827,5.901126,5.902055000000001,0.006974880644140113
