Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,131,14.7,2.5,169.2,6,0,0.00,0.00
Python,,89,10.2,2.6,100.6,5,0,0.00,0.00
Codon,,89,10.2,2.6,100.6,5,0,0.00,0.00
