Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,50,8.4,1.8,72.8,5,0,0.00,0.00
Python,,41,5.2,2.0,40.0,6,0,0.00,0.00
Codon,,41,5.2,2.0,40.0,6,0,0.00,0.00
