Metric,Comparison,P_Value,Significance,Most_Significant
energy_consumption,large - medium,0.013132227905150874,Significant,large - small
energy_consumption,large - small,1.8710692393367662e-5,Significant,large - small
energy_consumption,medium - small,0.13414403854349033,Non-Significant,large - small
execution_time,large - medium,0.02619454639583183,Significant,large - small
execution_time,large - small,5.930316918293219e-6,Significant,large - small
execution_time,medium - small,0.0445608677537974,Significant,large - small
cpu_usage,medium-large,0.05520830684010147,Non-Significant,small-large
cpu_usage,small-large,0.019171407843940225,Significant,small-large
cpu_usage,small-medium,0.8819097743213882,Non-Significant,small-large
