Date,CPU Utilization,CPU Power
2024-05-24 02:25:00,0.19531,25.93587
2024-05-24 02:25:01,0.09766,19.89136
2024-05-24 02:25:02,0.09766,19.63501
2024-05-24 02:25:03,0.19531,15.03906
2024-05-24 02:25:04,0.19531,20.44678
2024-05-24 02:25:05,0.09766,25.94401
2024-05-24 02:25:06,0.19531,19.53125
2024-05-24 02:25:07,0.09668,20.36316
2024-05-24 02:25:08,0.09766,26.05794
2024-05-24 02:25:09,0.19531,16.24512
2024-05-24 02:25:10,0.09766,25.17904
2024-05-24 02:25:11,0.19531,19.31763
2024-05-24 02:25:12,0.09766,20.22095
2024-05-24 02:25:13,0.19531,20.96558
2024-05-24 02:25:14,0.09766,19.64722
2024-05-24 02:25:15,0.19531,20.43457
2024-05-24 02:25:16,0.09766,25.87077
2024-05-24 02:25:17,0.19531,16.70898
2024-05-24 02:25:18,0.09766,25.70801
2024-05-24 02:25:19,0.09766,19.82422
2024-05-24 02:25:20,0.19531,20.14771
2024-05-24 02:25:21,0.09766,25.77311
2024-05-24 02:25:22,0.19531,20.58716
2024-05-24 02:25:23,0.09766,16.90430
2024-05-24 02:25:24,0.19531,26.50553
2024-05-24 02:25:25,0.09766,16.46484
2024-05-24 02:25:26,0.19531,25.89518
2024-05-24 02:25:27,0.09766,19.68994
2024-05-24 02:25:28,0.19531,20.62378
2024-05-24 02:25:29,0.09766,19.39697
2024-05-24 02:25:30,0.19531,20.38574
2024-05-24 02:25:31,0.09766,26.10677
2024-05-24 02:25:32,0.19531,20.09888
2024-05-24 02:25:33,0.09668,14.97327
2024-05-24 02:25:34,0.19531,20.47729
2024-05-24 02:25:35,0.09766,26.79850
2024-05-24 02:25:36,0.19531,20.11719
2024-05-24 02:25:37,0.09766,19.78149
2024-05-24 02:25:38,0.19531,20.73975
2024-05-24 02:25:39,0.09766,26.10677
2024-05-24 02:25:40,0.19531,19.42749
2024-05-24 02:25:41,0.09766,20.39795
2024-05-24 02:25:42,0.19531,26.13932
2024-05-24 02:25:43,0.09766,13.43122
2024-05-24 02:25:44,0.19531,20.36133
2024-05-24 02:25:45,0.09766,26.14746
2024-05-24 02:25:46,0.19531,16.49414
2024-05-24 02:25:47,0.09766,26.35905
2024-05-24 02:25:48,0.19531,19.59839
2024-05-24 02:25:49,0.09766,20.34912
2024-05-24 02:25:50,0.09766,26.18815
2024-05-24 02:25:51,0.19531,20.20874
2024-05-24 02:25:52,0.09766,25.67546
2024-05-24 02:25:53,0.19336,16.72075
2024-05-24 02:25:54,0.09766,20.42236
2024-05-24 02:25:55,0.19531,26.18815
2024-05-24 02:25:56,0.09766,20.48340
2024-05-24 02:25:57,0.19727,19.93616
2024-05-24 02:25:58,0.09766,19.70215
2024-05-24 02:25:59,0.19336,20.35712
2024-05-24 02:26:00,0.09766,26.06608
2024-05-24 02:26:01,0.19531,19.36646
2024-05-24 02:26:02,0.09766,20.30029
2024-05-24 02:26:03,0.19531,21.02051
2024-05-24 02:26:04,0.09766,20.35522
2024-05-24 02:26:05,0.19531,19.79370
2024-05-24 02:26:06,0.09766,25.96029
2024-05-24 02:26:07,0.19336,20.49005
2024-05-24 02:26:08,0.09766,19.81201
2024-05-24 02:26:09,0.09766,19.62280
2024-05-24 02:26:10,0.19531,19.97070
2024-05-24 02:26:11,0.09766,25.84635
2024-05-24 02:26:12,0.19531,20.27588
2024-05-24 02:26:13,0.09766,16.84570
2024-05-24 02:26:14,0.19531,26.70085
2024-05-24 02:26:15,0.09766,20.58105
2024-05-24 02:26:16,0.19531,19.37256
2024-05-24 02:26:17,0.19531,21.18530
2024-05-24 02:26:18,0.09766,12.63951
2024-05-24 02:26:19,0.19531,19.93408
2024-05-24 02:26:20,0.09766,20.40405
2024-05-24 02:26:21,0.19531,25.87891
2024-05-24 02:26:22,0.09766,19.52515
2024-05-24 02:26:23,0.19531,17.69043
2024-05-24 02:26:24,0.09766,26.35905
2024-05-24 02:26:25,0.19531,20.60547
2024-05-24 02:26:26,0.09766,19.70825
2024-05-24 02:26:27,0.19531,17.08496
2024-05-24 02:26:28,0.09766,20.64209
2024-05-24 02:26:29,0.19531,19.74487
2024-05-24 02:26:30,0.19531,26.99381
2024-05-24 02:26:31,0.09766,20.11719
2024-05-24 02:26:32,0.19531,19.92188
2024-05-24 02:26:33,0.19336,18.20962
2024-05-24 02:26:34,0.09766,20.44067
2024-05-24 02:26:35,0.19531,20.30640
2024-05-24 02:26:36,0.19531,20.66040
2024-05-24 02:26:37,0.19531,19.97681
2024-05-24 02:26:38,0.09766,20.73975
2024-05-24 02:26:39,0.19531,26.46484
2024-05-24 02:26:40,0.19531,19.78760
2024-05-24 02:26:41,0.09766,20.43457
2024-05-24 02:26:42,0.19531,26.50553
2024-05-24 02:26:43,0.09766,17.38770
2024-05-24 02:26:44,0.19531,20.83740
2024-05-24 02:26:45,0.19531,19.78760
2024-05-24 02:26:46,0.09766,20.77026
2024-05-24 02:26:47,0.19531,26.54622
2024-05-24 02:26:48,0.19531,19.78149
2024-05-24 02:26:49,0.09766,20.75806
2024-05-24 02:26:50,0.19531,26.59505
2024-05-24 02:26:51,0.19531,20.42847
2024-05-24 02:26:52,0.09766,19.56787
2024-05-24 02:26:53,0.19531,21.45996
2024-05-24 02:26:54,0.09766,20.66650
2024-05-24 02:26:55,0.19531,19.73877
2024-05-24 02:26:56,0.19531,19.80591
2024-05-24 02:26:57,0.09766,21.14258
2024-05-24 02:26:58,0.19531,19.78760
2024-05-24 02:26:59,0.19531,27.70996
2024-05-24 02:27:00,0.09766,19.66553
2024-05-24 02:27:01,0.19531,19.75098
2024-05-24 02:27:02,0.09668,27.45703
2024-05-24 02:27:03,0.19531,17.29980
2024-05-24 02:27:04,0.19531,21.05713
2024-05-24 02:27:05,0.09766,26.53809
2024-05-24 02:27:06,0.19531,20.17822
2024-05-24 02:27:07,0.19531,14.80713
2024-05-24 02:27:08,0.09766,26.66016
2024-05-24 02:27:09,0.19531,19.67773
2024-05-24 02:27:10,0.19531,20.74585
2024-05-24 02:27:11,0.09766,26.26139
2024-05-24 02:27:12,0.19531,20.65430
2024-05-24 02:27:13,0.09766,17.18262
2024-05-24 02:27:14,0.19531,26.90430
2024-05-24 02:27:15,0.19531,20.70313
2024-05-24 02:27:16,0.09766,26.61947
2024-05-24 02:27:17,0.19531,16.62598
2024-05-24 02:27:18,0.19531,27.36003
2024-05-24 02:27:19,0.09766,20.10498
2024-05-24 02:27:20,0.19531,20.67261
2024-05-24 02:27:21,0.19531,26.57878
2024-05-24 02:27:22,0.09766,20.16602
2024-05-24 02:27:23,0.19531,17.78809
2024-05-24 02:27:24,0.19531,19.99512
2024-05-24 02:27:25,0.09766,20.75806
2024-05-24 02:27:26,0.19336,25.97461
2024-05-24 02:27:27,0.09766,20.23315
2024-05-24 02:27:28,0.19531,20.75195
2024-05-24 02:27:29,0.19531,19.88525
2024-05-24 02:27:30,0.09766,26.45671
2024-05-24 02:27:31,0.19727,20.76221
2024-05-24 02:27:32,0.19531,19.53735
2024-05-24 02:27:33,0.09668,18.14194
2024-05-24 02:27:34,0.19531,20.78247
2024-05-24 02:27:35,0.19531,26.67643
2024-05-24 02:27:36,0.09766,16.66016
2024-05-24 02:27:37,0.19531,26.79037
2024-05-24 02:27:38,0.19531,20.89233
2024-05-24 02:27:39,0.09766,19.73877
2024-05-24 02:27:40,0.19531,20.11108
2024-05-24 02:27:41,0.19531,20.52002
2024-05-24 02:27:42,0.09766,26.48112
2024-05-24 02:27:43,0.19531,17.22168
2024-05-24 02:27:44,0.19531,20.88013
2024-05-24 02:27:45,0.09766,26.30208
2024-05-24 02:27:46,0.19531,20.62378
2024-05-24 02:27:47,0.19531,14.27002
2024-05-24 02:27:48,0.09766,26.45671
2024-05-24 02:27:49,0.19531,20.61768
2024-05-24 02:27:50,0.09766,19.79370
2024-05-24 02:27:51,0.19531,20.12329
2024-05-24 02:27:52,0.19336,27.21533
2024-05-24 02:27:53,0.19531,17.28027
2024-05-24 02:27:54,0.09766,20.58716
2024-05-24 02:27:55,0.19531,25.98470
2024-05-24 02:27:56,0.09766,19.79370
2024-05-24 02:27:57,0.19531,20.92285
2024-05-24 02:27:58,0.19531,19.87305
2024-05-24 02:27:59,0.09766,20.52002
2024-05-24 02:28:00,0.19531,26.41602
2024-05-24 02:28:01,0.19531,19.53125
2024-05-24 02:28:02,0.09766,20.81299
2024-05-24 02:28:03,0.19531,21.45996
2024-05-24 02:28:04,0.19531,19.82422
2024-05-24 02:28:05,0.09766,21.03271
2024-05-24 02:28:06,0.19531,19.69604
2024-05-24 02:28:07,0.19531,20.95947
2024-05-24 02:28:08,0.09766,26.52181
2024-05-24 02:28:09,0.19531,19.67163
2024-05-24 02:28:10,0.09766,20.79468
2024-05-24 02:28:11,0.19531,26.26953
2024-05-24 02:28:12,0.19531,20.36743
2024-05-24 02:28:13,0.09668,17.18965
2024-05-24 02:28:14,0.19531,26.67643
2024-05-24 02:28:15,0.19531,20.55054
2024-05-24 02:28:16,0.09766,19.47021
2024-05-24 02:28:17,0.19727,27.18978
2024-05-24 02:28:18,0.19336,20.54443
2024-05-24 02:28:19,0.09766,19.76929
2024-05-24 02:28:20,0.19531,20.88013
2024-05-24 02:28:21,0.19531,26.16374
2024-05-24 02:28:22,0.09766,19.77539
2024-05-24 02:28:23,0.19531,17.85156
2024-05-24 02:28:24,0.19531,19.84253
2024-05-24 02:28:25,0.09766,26.56250
2024-05-24 02:28:26,0.19531,20.72144
2024-05-24 02:28:27,0.19531,20.20264
2024-05-24 02:28:28,0.09766,20.75195
2024-05-24 02:28:29,0.19336,26.03906
2024-05-24 02:28:30,0.19531,19.94629
2024-05-24 02:28:31,0.09766,20.49561
2024-05-24 02:28:32,0.19531,26.45671
2024-05-24 02:28:33,0.19531,15.38086
2024-05-24 02:28:34,0.09766,17.56348
2024-05-24 02:28:35,0.19531,20.29419
2024-05-24 02:28:36,0.19531,20.98389
2024-05-24 02:28:37,0.09766,19.94629
2024-05-24 02:28:38,0.19531,26.85547
2024-05-24 02:28:39,0.19531,20.59326
2024-05-24 02:28:40,0.19531,19.72656
2024-05-24 02:28:41,0.09668,20.30878
2024-05-24 02:28:42,0.19531,26.46484
2024-05-24 02:28:43,0.19531,17.27051
2024-05-24 02:28:44,0.09766,20.98999
2024-05-24 02:28:45,0.19531,26.66016
2024-05-24 02:28:46,0.09766,20.00732
2024-05-24 02:28:47,0.19336,20.67737
2024-05-24 02:28:48,0.19531,19.88525
2024-05-24 02:28:49,0.09766,20.59326
2024-05-24 02:28:50,0.19531,26.36719
2024-05-24 02:28:51,0.19727,19.83752
2024-05-24 02:28:52,0.09766,27.62858
2024-05-24 02:28:53,0.19531,17.30469
2024-05-24 02:28:54,0.19531,21.06323
