Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,106,18.4,4.8,180.6,5,0,0.00,0.00
Python,,52,14.5,6.5,155.0,2,0,0.00,0.00
Codon,,52,14.5,6.5,155.0,2,0,0.00,0.00
