Subject,SIZE_CATEGORY,Metric,mean_codon,mean_cpp,mean_python,codon_vs_cpp,codon_vs_python
float,medium,mean_energy,78.1497825,37.104610625,2628.2823691666667,cpp<codon,codon<python
float,small,mean_energy,37.40246611111111,18.871849285714283,1628.7712865,cpp<codon,codon<python
mandelbrot,large,mean_energy,249.15866,225.91524833333332,8707.993400714286,cpp<codon,codon<python
mandelbrot,medium,mean_energy,151.148113,138.716469375,5680.2413916666665,cpp<codon,codon<python
mandelbrot,small,mean_energy,53.06886,63.89244,2554.126558,codon<cpp,codon<python
nbody,large,mean_energy,309.3370185714286,238.40932666666663,8738.1124065,cpp<codon,codon<python
nbody,medium,mean_energy,126.2261945,99.074581875,3106.276537777778,cpp<codon,codon<python
nbody,small,mean_energy,37.29404928571429,18.297654375,1198.300274,cpp<codon,codon<python
nsieve,large,mean_energy,778.3604207142857,871.318606875,13735.08706125,codon<cpp,codon<python
nsieve,medium,mean_energy,359.793885,395.587168125,6568.5514192857145,codon<cpp,codon<python
nsieve,small,mean_energy,154.695489375,163.49772,3140.7464285,codon<cpp,codon<python
set_partition,large,mean_energy,2451.3983533333335,2199.0528455,11791.626374375,cpp<codon,codon<python
set_partition,medium,mean_energy,326.48475357142854,228.57484,1583.1314944444443,cpp<codon,codon<python
set_partition,small,mean_energy,20.448956666666668,20.579699444444444,203.2245305,codon<cpp,codon<python
spectral_norm,large,mean_energy,109.77002714285716,108.00401,13992.015822,cpp<codon,codon<python
spectral_norm,medium,mean_energy,40.739380625,31.09894,6099.8344822222225,cpp<codon,codon<python
spectral_norm,small,mean_energy,22.26811625,21.432438333333337,4968.689698571428,cpp<codon,codon<python
taq,large,mean_energy,124.3783675,124.76088388888888,7609.4488505,codon<cpp,codon<python
taq,medium,mean_energy,81.59597944444445,115.74748875,3909.4565855,codon<cpp,codon<python
taq,small,mean_energy,40.81082875,87.4236835,1142.3218005,codon<cpp,codon<python
binary_trees,large,mean_execution_time,9.05700938888889,10.779288725,540.3689113142857,codon<cpp,codon<python
binary_trees,medium,mean_execution_time,5.201701816666667,5.54455638,220.84111161666667,codon<cpp,codon<python
binary_trees,small,mean_execution_time,3.66812134,3.7581085,108.78730708333332,codon<cpp,codon<python
fasta,large,mean_execution_time,27.14998827,8.4268362125,126.89492022857144,cpp<codon,codon<python
fasta,medium,mean_execution_time,19.000890685714285,6.26940143,87.55011981999999,cpp<codon,codon<python
fasta,small,mean_execution_time,10.887348966666666,4.5504145,46.6619846375,cpp<codon,codon<python
float,large,mean_execution_time,8.62863988888889,6.835333455555555,158.41738256666667,cpp<codon,codon<python
float,medium,mean_execution_time,7.1911206125,5.702474175,130.8271181,cpp<codon,codon<python
