Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,19,12.0,3.0,84.0,1,0,0.00,0.00
Python,,10,0.0,0.0,0.0,1,0,0.00,0.00
Codon,,10,0.0,0.0,0.0,1,0,0.00,0.00
