Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,66,8.7,2.2,74.5,6,0,0.00,0.00
Python,,40,6.2,2.2,46.3,6,0,0.00,0.00
Codon,,39,6.8,2.4,51.0,5,0,0.00,0.00
