run_number,execution_method,execution_time,tree_depth
1,cpp,2.46626,16
1,python,21.0688887,16
1,codon,.5330318,16
2,cpp,1.6857469,16
2,python,20.0471751,16
2,codon,.489269,16
3,cpp,1.6523111,16
3,python,19.768170,16
3,codon,.472164,16
4,cpp,1.639932,16
4,python,19.443870,16
4,codon,.6055092,16
5,cpp,1.7060328,16
5,python,19.415541,16
5,codon,.5072401,16
6,cpp,1.767103,16
6,python,19.299505,16
6,codon,.492607,16
7,cpp,1.6244469,16
7,python,19.311548,16
7,codon,.470828,16
8,cpp,1.629416,16
8,python,19.190682,16
8,codon,.472244,16
9,cpp,1.6198288,16
9,python,19.2883369,16
9,codon,.4716098,16
10,cpp,1.6425588,16
10,python,19.7025341,16
10,codon,.479875,16
