run_number,execution_method,execution_time,SIZE
1,cpp,.224204,43
1,python,.320792,43
1,codon,.2956918,43
2,cpp,.237916,80
2,python,.3092871,80
2,codon,.213682,80
3,cpp,.244276,10
3,python,.3488139,10
3,codon,.229961,10
4,cpp,.270546,39
4,python,.395396,39
4,codon,.227945,39
5,cpp,.240137,10
5,python,.3740371,10
