Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,38,17.0,4.5,129.0,2,0,0.00,0.00
Python,,16,9.0,4.0,60.0,1,0,0.00,0.00
Codon,,16,9.0,4.0,60.0,1,0,0.00,0.00
