Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,75,17.2,3.5,153.2,4,0,0.00,0.00
Python,,29,10.0,4.5,79.5,2,0,0.00,0.00
Codon,,29,10.0,4.5,79.5,2,0,0.00,0.00
