Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,133,11.7,2.3,79.2,6,0,0.00,0.00
Python,,62,8.8,2.6,63.2,5,0,0.00,0.00
Codon,,62,8.8,2.6,63.2,5,0,0.00,0.00
