Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,21,9.0,3.5,61.0,2,0,0.00,0.00
Python,,14,6.0,3.0,32.0,1,0,0.00,0.00
Codon,,14,6.0,3.0,32.0,1,0,0.00,0.00
