Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,11,9.0,2.0,68.0,1,0,0.00,0.00
Python,,9,0.0,0.0,0.0,1,0,0.00,0.00
Codon,,9,0.0,0.0,0.0,1,0,0.00,0.00
