Date,CPU Utilization,CPU Power
2024-05-14 14:07:23,0.19336,19.03381
2024-05-14 14:07:24,0.09863,20.24438
2024-05-14 14:07:25,0.19336,19.02173
2024-05-14 14:07:26,0.19531,25.94401
2024-05-14 14:07:27,0.09766,20.58105
2024-05-14 14:07:28,0.19531,19.88525
2024-05-14 14:07:29,0.19531,19.89746
2024-05-14 14:07:30,0.09766,14.97396
2024-05-14 14:07:31,0.19531,18.64014
2024-05-14 14:07:32,0.09766,19.87305
2024-05-14 14:07:33,0.19531,25.21159
2024-05-14 14:07:34,0.19531,15.90820
2024-05-14 14:07:35,0.09766,25.83008
2024-05-14 14:07:36,0.19531,18.89648
2024-05-14 14:07:37,0.19531,20.56885
2024-05-14 14:07:38,0.09766,19.15283
2024-05-14 14:07:39,0.19336,24.63721
2024-05-14 14:07:40,0.09766,13.90904
2024-05-14 14:07:41,0.19531,18.88428
2024-05-14 14:07:42,0.19531,26.46484
2024-05-14 14:07:43,0.09766,18.70117
