Date,CPU Utilization,CPU Power
2024-05-14 13:28:32,0.19531,20.71533
2024-05-14 13:28:33,0.19531,19.38477
2024-05-14 13:28:34,0.09766,20.64209
2024-05-14 13:28:35,0.19727,26.10482
2024-05-14 13:28:36,0.09668,19.26343
2024-05-14 13:28:37,0.19531,20.60547
2024-05-14 13:28:38,0.19336,25.47510
2024-05-14 13:28:39,0.09766,15.33203
2024-05-14 13:28:40,0.19531,15.37272
2024-05-14 13:28:41,0.19531,26.69271
2024-05-14 13:28:42,0.09863,16.48154
2024-05-14 13:28:43,0.19531,25.30924
2024-05-14 13:28:44,0.09766,19.17725
2024-05-14 13:28:45,0.19531,20.17822
2024-05-14 13:28:46,0.19336,25.33008
2024-05-14 13:28:47,0.09766,20.06836
2024-05-14 13:28:48,0.19531,19.29932
2024-05-14 13:28:49,0.19531,25.68359
2024-05-14 13:28:50,0.09668,12.30249
2024-05-14 13:28:51,0.19531,20.61768
2024-05-14 13:28:52,0.19727,19.76355
