Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,47,8.2,2.8,92.6,5,0,0.00,0.00
Python,,37,5.2,2.0,40.2,6,0,0.00,0.00
Codon,,37,5.2,2.0,40.2,6,0,0.00,0.00
