Date,CPU Utilization,CPU Power
2024-05-26 18:36:02,0.09766,19.94629
2024-05-26 18:36:03,0.09766,26.20443
2024-05-26 18:36:04,0.19531,20.37354
2024-05-26 18:36:05,0.09766,19.26270
2024-05-26 18:36:06,0.19531,21.19141
2024-05-26 18:36:07,0.09766,20.54443
2024-05-26 18:36:08,0.19531,19.73877
2024-05-26 18:36:09,0.09766,26.00912
2024-05-26 18:36:10,0.19531,20.78857
2024-05-26 18:36:11,0.09668,19.31177
2024-05-26 18:36:12,0.19531,20.16602
2024-05-26 18:36:13,0.09766,26.00912
2024-05-26 18:36:14,0.19531,19.33594
2024-05-26 18:36:15,0.09863,20.23206
2024-05-26 18:36:16,0.19531,20.84961
2024-05-26 18:36:17,0.09668,17.24766
2024-05-26 18:36:18,0.19531,19.27490
2024-05-26 18:36:19,0.09766,25.96029
2024-05-26 18:36:20,0.19531,14.68099
2024-05-26 18:36:21,0.09766,19.39697
2024-05-26 18:36:22,0.09766,25.99284
2024-05-26 18:36:23,0.19531,20.49561
2024-05-26 18:36:24,0.09766,19.39697
2024-05-26 18:36:25,0.19531,20.73975
2024-05-26 18:36:26,0.09766,20.91064
2024-05-26 18:36:27,0.19531,19.49463
2024-05-26 18:36:28,0.09766,20.71533
2024-05-26 18:36:29,0.19531,25.84635
2024-05-26 18:36:30,0.09766,20.10498
2024-05-26 18:36:31,0.09766,20.17822
2024-05-26 18:36:32,0.19531,19.37256
2024-05-26 18:36:33,0.09766,20.50781
2024-05-26 18:36:34,0.19531,25.91146
2024-05-26 18:36:35,0.09766,19.44580
2024-05-26 18:36:36,0.19531,21.75293
2024-05-26 18:36:37,0.09766,19.77539
2024-05-26 18:36:38,0.19531,20.41016
2024-05-26 18:36:39,0.09766,19.64111
2024-05-26 18:36:40,0.19336,26.44189
2024-05-26 18:36:41,0.09766,20.21484
2024-05-26 18:36:42,0.19531,19.17725
2024-05-26 18:36:43,0.09766,19.44580
2024-05-26 18:36:44,0.09766,26.92057
2024-05-26 18:36:45,0.19531,19.36035
2024-05-26 18:36:46,0.09766,18.32031
2024-05-26 18:36:47,0.19531,19.94629
2024-05-26 18:36:48,0.19336,19.61389
2024-05-26 18:36:49,0.09766,20.45898
2024-05-26 18:36:50,0.09766,26.17188
2024-05-26 18:36:51,0.19531,20.21484
2024-05-26 18:36:52,0.09766,20.45898
2024-05-26 18:36:53,0.19531,19.34814
2024-05-26 18:36:54,0.09766,20.52002
2024-05-26 18:36:55,0.19531,26.44857
2024-05-26 18:36:56,0.09766,17.19727
2024-05-26 18:36:57,0.19531,20.72754
2024-05-26 18:36:58,0.09766,19.71436
2024-05-26 18:36:59,0.19531,20.88623
2024-05-26 18:37:00,0.09766,16.91406
2024-05-26 18:37:01,0.19531,19.58008
2024-05-26 18:37:02,0.09766,20.26367
2024-05-26 18:37:03,0.19531,26.04167
2024-05-26 18:37:04,0.09766,19.55566
2024-05-26 18:37:05,0.09766,20.52002
2024-05-26 18:37:06,0.19531,20.98389
2024-05-26 18:37:07,0.09766,20.84961
2024-05-26 18:37:08,0.19531,19.54346
2024-05-26 18:37:09,0.09766,26.22070
2024-05-26 18:37:10,0.19531,16.48438
2024-05-26 18:37:11,0.09766,26.20443
2024-05-26 18:37:12,0.19531,20.45898
2024-05-26 18:37:13,0.09766,19.62891
2024-05-26 18:37:14,0.19531,26.02539
2024-05-26 18:37:15,0.09766,20.27588
2024-05-26 18:37:16,0.19531,16.73828
2024-05-26 18:37:17,0.09766,20.67871
2024-05-26 18:37:18,0.19531,20.41016
2024-05-26 18:37:19,0.09766,25.99284
2024-05-26 18:37:20,0.19336,16.38721
2024-05-26 18:37:21,0.09766,26.20443
2024-05-26 18:37:22,0.09766,19.47021
2024-05-26 18:37:23,0.19531,20.34912
2024-05-26 18:37:24,0.09766,26.18815
2024-05-26 18:37:25,0.19531,20.16602
2024-05-26 18:37:26,0.09766,21.33789
2024-05-26 18:37:27,0.19336,19.69849
2024-05-26 18:37:28,0.09766,20.49561
2024-05-26 18:37:29,0.19531,25.83008
2024-05-26 18:37:30,0.09766,20.01953
2024-05-26 18:37:31,0.19531,20.12939
2024-05-26 18:37:32,0.09766,19.58008
2024-05-26 18:37:33,0.19531,20.14160
2024-05-26 18:37:34,0.09766,25.89518
2024-05-26 18:37:35,0.19531,19.43359
2024-05-26 18:37:36,0.09766,21.77734
2024-05-26 18:37:37,0.19531,19.76318
2024-05-26 18:37:38,0.09766,26.22070
2024-05-26 18:37:39,0.09766,20.38574
2024-05-26 18:37:40,0.19531,14.23340
2024-05-26 18:37:41,0.09766,27.44141
2024-05-26 18:37:42,0.19531,19.59229
2024-05-26 18:37:43,0.09766,25.92773
2024-05-26 18:37:44,0.19531,16.43555
2024-05-26 18:37:45,0.09766,25.56966
2024-05-26 18:37:46,0.19531,17.89063
2024-05-26 18:37:47,0.09766,21.02051
2024-05-26 18:37:48,0.19531,19.32373
2024-05-26 18:37:49,0.09766,20.52002
2024-05-26 18:37:50,0.19531,19.62891
2024-05-26 18:37:51,0.09766,25.96029
2024-05-26 18:37:52,0.19531,21.06934
2024-05-26 18:37:53,0.09668,19.42053
2024-05-26 18:37:54,0.09766,20.38574
2024-05-26 18:37:55,0.19531,19.67773
2024-05-26 18:37:56,0.09766,21.14258
2024-05-26 18:37:57,0.19727,20.73755
2024-05-26 18:37:58,0.09766,19.54346
2024-05-26 18:37:59,0.19336,19.60181
2024-05-26 18:38:00,0.09766,21.00830
2024-05-26 18:38:01,0.19531,26.22070
2024-05-26 18:38:02,0.09766,20.64209
2024-05-26 18:38:03,0.19531,19.53125
2024-05-26 18:38:04,0.09766,25.94401
2024-05-26 18:38:05,0.09766,16.44531
2024-05-26 18:38:06,0.19531,21.14258
2024-05-26 18:38:07,0.19531,20.48340
2024-05-26 18:38:08,0.09766,19.70215
2024-05-26 18:38:09,0.09766,26.02539
2024-05-26 18:38:10,0.19531,20.66650
2024-05-26 18:38:11,0.09766,19.67773
2024-05-26 18:38:12,0.19531,26.17188
2024-05-26 18:38:13,0.09668,20.25439
2024-05-26 18:38:14,0.19531,19.51904
2024-05-26 18:38:15,0.09766,20.28809
2024-05-26 18:38:16,0.19531,21.31348
2024-05-26 18:38:17,0.09766,14.81934
2024-05-26 18:38:18,0.19336,20.49609
2024-05-26 18:38:19,0.09766,19.49463
2024-05-26 18:38:20,0.19531,20.34912
2024-05-26 18:38:21,0.09766,19.67773
2024-05-26 18:38:22,0.19531,26.10677
2024-05-26 18:38:23,0.09766,20.39795
2024-05-26 18:38:24,0.19531,19.26270
2024-05-26 18:38:25,0.09766,26.31836
2024-05-26 18:38:26,0.19531,17.46094
2024-05-26 18:38:27,0.09668,19.56555
2024-05-26 18:38:28,0.19531,20.41016
2024-05-26 18:38:29,0.09766,25.84635
2024-05-26 18:38:30,0.09766,19.95850
2024-05-26 18:38:31,0.19531,20.41016
2024-05-26 18:38:32,0.09766,19.58008
2024-05-26 18:38:33,0.19336,25.78125
2024-05-26 18:38:34,0.09766,20.08057
2024-05-26 18:38:35,0.19531,19.71436
2024-05-26 18:38:36,0.09766,17.50977
2024-05-26 18:38:37,0.19531,26.43229
2024-05-26 18:38:38,0.09766,19.77539
2024-05-26 18:38:39,0.19531,20.60547
2024-05-26 18:38:40,0.09766,19.92188
2024-05-26 18:38:41,0.19531,20.15381
2024-05-26 18:38:42,0.09766,26.18815
2024-05-26 18:38:43,0.09766,19.40918
2024-05-26 18:38:44,0.19531,20.48340
2024-05-26 18:38:45,0.09766,26.20443
2024-05-26 18:38:46,0.19531,17.42188
2024-05-26 18:38:47,0.19531,17.13867
2024-05-26 18:38:48,0.09766,26.35091
2024-05-26 18:38:49,0.09766,20.47119
2024-05-26 18:38:50,0.19531,19.93408
2024-05-26 18:38:51,0.09766,19.60449
2024-05-26 18:38:52,0.19531,21.60645
2024-05-26 18:38:53,0.09766,16.51367
2024-05-26 18:38:54,0.19531,19.83643
2024-05-26 18:38:55,0.09766,20.50781
2024-05-26 18:38:56,0.19531,21.24023
2024-05-26 18:38:57,0.09766,20.88623
2024-05-26 18:38:58,0.19531,19.54346
2024-05-26 18:38:59,0.09766,19.88525
2024-05-26 18:39:00,0.19531,20.64209
2024-05-26 18:39:01,0.09766,26.02539
2024-05-26 18:39:02,0.09766,20.49561
2024-05-26 18:39:03,0.19531,19.65332
2024-05-26 18:39:04,0.09766,25.94401
2024-05-26 18:39:05,0.19531,20.55664
2024-05-26 18:39:06,0.09766,16.91406
2024-05-26 18:39:07,0.19531,26.20443
2024-05-26 18:39:08,0.09766,20.70313
2024-05-26 18:39:09,0.19531,19.48242
2024-05-26 18:39:10,0.09766,20.87402
2024-05-26 18:39:11,0.19531,25.87891
2024-05-26 18:39:12,0.09766,19.39697
2024-05-26 18:39:13,0.19531,20.38574
2024-05-26 18:39:14,0.09668,19.38428
2024-05-26 18:39:15,0.09766,20.36133
2024-05-26 18:39:16,0.19531,21.80176
2024-05-26 18:39:17,0.19531,20.10498
2024-05-26 18:39:18,0.09766,20.33691
2024-05-26 18:39:19,0.09766,19.72656
2024-05-26 18:39:20,0.19531,26.23698
2024-05-26 18:39:21,0.09766,20.12939
2024-05-26 18:39:22,0.19531,19.50684
2024-05-26 18:39:23,0.09766,20.54443
2024-05-26 18:39:24,0.19336,25.81348
2024-05-26 18:39:25,0.09766,19.71436
2024-05-26 18:39:26,0.19531,17.58789
2024-05-26 18:39:27,0.09766,26.26953
2024-05-26 18:39:28,0.19531,19.58008
2024-05-26 18:39:29,0.09766,20.52002
2024-05-26 18:39:30,0.19531,17.29492
2024-05-26 18:39:31,0.09766,20.49561
2024-05-26 18:39:32,0.09766,19.65332
2024-05-26 18:39:33,0.19531,19.66553
2024-05-26 18:39:34,0.09766,20.54443
2024-05-26 18:39:35,0.19531,26.12305
2024-05-26 18:39:36,0.09766,17.50977
2024-05-26 18:39:37,0.19531,26.05794
2024-05-26 18:39:38,0.09766,19.83643
2024-05-26 18:39:39,0.19336,20.08521
2024-05-26 18:39:40,0.09766,19.89746
2024-05-26 18:39:41,0.09766,26.00912
2024-05-26 18:39:42,0.19531,20.70313
2024-05-26 18:39:43,0.09766,19.40918
2024-05-26 18:39:44,0.19531,20.39795
2024-05-26 18:39:45,0.09766,26.04167
2024-05-26 18:39:46,0.19336,17.07363
2024-05-26 18:39:47,0.19531,17.14844
2024-05-26 18:39:48,0.09766,26.25326
2024-05-26 18:39:49,0.09766,19.86084
2024-05-26 18:39:50,0.19531,20.69092
2024-05-26 18:39:51,0.09766,25.96029
2024-05-26 18:39:52,0.19531,16.97266
2024-05-26 18:39:53,0.09766,25.92773
2024-05-26 18:39:54,0.19531,19.43359
2024-05-26 18:39:55,0.09766,20.69092
