Language,Total nloc,Avg.NLOC,AvgCCN,Avg.token,Fun Cnt,Warning cnt,Fun Rt,nloc Rt
C++,,34,14.5,4.0,139.0,2,0,0.00,0.00
Python,,18,2.0,1.0,23.0,1,0,0.00,0.00
Codon,,18,2.0,1.0,23.0,1,0,0.00,0.00
