Metric,Test_Type,P_Value,Reject_H0
energy_consumption,Kruskal-Wallis,4.046796032602703e-5,Yes
execution_time,Kruskal-Wallis,4.046796032602703e-5,Yes
cpu_usage,ANOVA,0.004404389709182875,Yes
