Source,Energy_Consumption_Joules
power-codon-3140112.csv,311.32355499999994
power-codon-3141680.csv,307.96310500000004
power-codon-3212488.csv,169.01612
power-codon-3215380.csv,170.45902999999998
power-codon-3216590.csv,73.13895500000001
power-codon-3218191.csv,441.0919399999998
power-codon-3226549.csv,36.914065
power-codon-3227290.csv,127.31497499999998
power-codon-3228317.csv,305.73228500000005
power-codon-3229897.csv,17.13257
power-codon-3255192.csv,32.15419
power-codon-3255904.csv,73.044925
power-codon-3267750.csv,36.104325
power-codon-3277677.csv,128.93850500000002
power-codon-3283423.csv,39.428715000000004
power-codon-3293983.csv,122.76288
power-codon-3295024.csv,306.21012500000006
power-codon-3330928.csv,165.52797500000003
power-codon-3332114.csv,39.691155
power-codon-3333347.csv,69.01588
power-codon-3358586.csv,35.94645
power-codon-3359843.csv,36.45426499999999
power-codon-3382857.csv,309.65239500000007
power-codon-3384524.csv,163.04269999999997
power-codon-3385723.csv,312.63683500000025
power-codon-3411505.csv,36.51937
power-codon-3419606.csv,311.8408300000001
power-codon-3456620.csv,317.4991600000001
power-codon-3458282.csv,16.828615
power-codon-3493212.csv,306.0921149999999
power-cpp-3176810.csv,48.517265
power-cpp-3177510.csv,129.837415
power-cpp-3178534.csv,16.740724999999998
power-cpp-3213545.csv,344.3772049999998
power-cpp-3217324.csv,86.40552999999998
power-cpp-3220259.csv,130.63975499999998
power-cpp-3221163.csv,0
power-cpp-3221702.csv,17.129579999999997
power-cpp-3238186.csv,239.58134500000006
power-cpp-3254174.csv,134.79613999999998
power-cpp-3256634.csv,89.56201999999999
power-cpp-3257499.csv,93.18293499999999
power-cpp-3258368.csv,20.153805
power-cpp-3266629.csv,129.07715
power-cpp-3268316.csv,236.59427500000004
power-cpp-3277124.csv,20.24943
power-cpp-3284101.csv,90.948485
power-cpp-3292417.csv,124.26351500000004
power-cpp-3293323.csv,16.949465
power-cpp-3332802.csv,0
power-cpp-3359154.csv,18.712564999999998
power-cpp-3443274.csv,238.87182499999994
power-cpp-3455238.csv,237.3777550000001
power-cpp-3483456.csv,16.694180000000003
power-cpp-3483998.csv,353.2135699999999
power-cpp-3485705.csv,227.565745
power-cpp-3491166.csv,231.16220499999997
power-cpp-3492528.csv,19.751485
power-cpp-3494776.csv,238.31444999999997
power-cpp-3520060.csv,239.71631000000002
power-python-3132461.csv,2319.4674500000037
power-python-3143218.csv,10895.751580000157
power-python-3178964.csv,7746.362949999981
power-python-3203034.csv,1380.0518249999986
power-python-3207642.csv,1354.7655950000008
power-python-3222242.csv,1199.1347050000004
power-python-3230446.csv,2346.8705400000035
power-python-3239425.csv,4667.739364999987
power-python-3258803.csv,1356.5173800000011
power-python-3263387.csv,897.9941749999998
power-python-3269573.csv,2298.5590750000047
power-python-3278586.csv,1400.5433799999992
power-python-3284867.csv,2301.943115000002
power-python-3296582.csv,10847.853219999932
power-python-3334065.csv,7897.13162
power-python-3360397.csv,4674.078314999992
power-python-3374974.csv,899.9613200000003
power-python-3378173.csv,1358.0429949999998
power-python-3387154.csv,7857.61600499996
power-python-3412085.csv,2311.864735000003
power-python-3421140.csv,-270730.9257149999
power-python-3428674.csv,4716.777994999982
power-python-3444620.csv,2319.1882499999992
power-python-3452025.csv,901.2937100000017
power-python-3458829.csv,7913.602159999893
power-python-3486956.csv,1234.697655
power-python-3496011.csv,7725.599904999952
power-python-3521297.csv,7813.021130000008
power-python-3545329.csv,7812.407815000042
power-python-3569583.csv,10871.777679999825
